REGION_ID,SPEED_weekday,SPEED_weekend,geometry,REGION
2,27.31824385017924,27.720745773260038,"POLYGON ((-87.67298 41.764066, -87.606334 41.764066, -87.606334 41.728472, -87.67298 41.728472, -87.67298 41.764066))",Far North West
3,24.09710783303803,24.208539570583966,"POLYGON ((-87.662508 41.677477, -87.524436 41.677477, -87.524436 41.644139, -87.662508 41.644139, -87.662508 41.677477))",North Park-Albany-Linconl Sq
6,23.459630804730317,23.608028212840992,"POLYGON ((-87.709645 42.026444, -87.654561 42.026444, -87.654561 41.997946, -87.709645 41.997946, -87.709645 42.026444))",Irving Park-Avondale-North Ctr
10,24.29811495673671,24.45887563530754,"POLYGON ((-87.662508 41.728472, -87.584845 41.728472, -87.584845 41.677477, -87.662508 41.677477, -87.662508 41.728472))",Humboldt-Garfield Prk E/W
11,23.828105480016482,23.965692355564773,"POLYGON ((-87.685372 41.866129, -87.636322 41.866129, -87.636322 41.822792, -87.685372 41.822792, -87.685372 41.866129))",West Town-Near West
13,20.005693036670785,20.046655948553056,"POLYGON ((-87.84621 42.0190998, -87.747456 42.0190998, -87.747456 41.960669, -87.84621 41.960669, -87.84621 42.0190998))",Chicago Loop
14,24.550875190572334,24.850987449434705,"POLYGON ((-87.747456 41.931841, -87.67459 41.931841, -87.67459 41.909269, -87.747456 41.909269, -87.747456 41.931841))",Lawndale N/S
15,27.183693600890027,27.392146265560164,"POLYGON ((-87.747456 41.764066, -87.67298 41.764066, -87.67298 41.728472, -87.747456 41.728472, -87.747456 41.764066))",Bridgeport-McKinley-Lower West
17,24.095778153199554,25.149025933609956,"POLYGON ((-87.747456 41.866129, -87.685372 41.866129, -87.685372 41.822792, -87.747456 41.822792, -87.747456 41.866129))",Midway-Garfield Rdg-Clearing
18,25.8034092875685,25.96337033195021,"POLYGON ((-87.747456 41.997946, -87.67459 41.997946, -87.67459 41.960669, -87.747456 41.960669, -87.747456 41.997946))",South West Side
19,27.338386073341574,27.60423132780083,"POLYGON ((-87.747456 41.822792, -87.68373 41.822792, -87.68373 41.764066, -87.747456 41.764066, -87.747456 41.822792))",New City-Englewood-W Englewood
20,26.39605356407087,26.469885892116185,"POLYGON ((-87.647208 41.88886, -87.62308 41.88886, -87.62308 41.866129, -87.647208 41.866129, -87.647208 41.88886))",Fuller-Grand Blvd-Washington Park
21,23.839793160280184,24.087839211618256,"POLYGON ((-87.67459 41.960669, -87.619112 41.960669, -87.619112 41.910561, -87.67459 41.910561, -87.67459 41.960669))",Hyde Park-Kenwood-Woodlawn
22,28.545127930451983,28.735534232365143,"POLYGON ((-87.67459 41.997946, -87.646438 41.997946, -87.646438 41.960669, -87.67459 41.960669, -87.67459 41.997946))",Ashburn
23,25.38428224145035,25.52272482107665,"POLYGON ((-87.68373 41.822792, -87.636322 41.822792, -87.636322 41.764066, -87.68373 41.764066, -87.68373 41.822792))",Auburn Gresham-Chatham
24,26.2229340749897,26.277198423400062,"POLYGON ((-87.802188 41.822792, -87.747456 41.822792, -87.747456 41.764066, -87.802188 41.764066, -87.802188 41.822792))",South Shore-S Chicago-Avlon
25,26.127261752708996,26.457896483767243,"POLYGON ((-87.647208 41.911401, -87.62308 41.911401, -87.62308 41.88886, -87.647208 41.88886, -87.647208 41.911401))",Beverly-Mt Greenwood-Morgan Park
26,28.922874212022577,29.32791411679286,"POLYGON ((-87.775947 41.909269, -87.747456 41.909269, -87.747456 41.866129, -87.775947 41.866129, -87.775947 41.909269))",Washington Hts-Roseland-Pullman
